date,source,text,link
2026-06-08,ESCNJ Bidding Opportunities,INTERNET ACCESS AND DATA TRANSMISSION SERVICES - RFP ESCNJ 23/24-19,https://www.escnj.us/co-op-pricing/members-section/internet-access-and-data-transmission-services-rfp-escnj-2324-19
2026-06-08,ESCNJ Bidding Opportunities,NJDRLAP INTERNET AND TECHNOLOGY CONSULTING SERVICES - RFP # ESCNJ 23/24-13,https://www.escnj.us/co-op-pricing/members-section/njdrlap-internet-and-technology-consulting-services-rfp-escnj-2324-13
